Bonjour!
Il faut ajouter une traduction en russe à la fin de chaque ligne
elle doit etre entre guillemets ("), avect une virgule et pas d'espace avant

Les {0} et {1} Dans les textes vont etre remplacé pas des valeurs

---------------------------------

"key","en","fr","ru"
"hello world","Hello world!","Bonjour le monde!","Здравствуй мир!"
"last score","Last score","Dernier score","Mettre une traduction ici!"
"best score","Best score","Record"
"difficulty","Difficulty:","Difficulté :"
"easy","Easy","Facile"
"medium","Medium","Moyen"
"hard","Hard","Difficile"
"objectives","Objectives","Objectifs"
"continue","Continue","Continuer"
"change obj","Change objectives","Changer d'objectifs"
"back","Back","Retour"
"new colors","Buy new colors","Nouvelles couleurs"
"paused","paused","en pause"
"resume","resume","reprendre"
"tuto move","Slide to move","Glissez pour bouger"
"tuto btn","Press these buttons to change your color","Appuyez sur ces boutons pour changer de couleur"
"tuto dont touch","Do not touch anything that is the same color as yours","Ne touchez pas ce qui est de la même couleur que vous"
"use powerup","Press here to use the powerup","Appuyez ici pour utiliser le powerup"
"slow motion","Slow motion","Ralenti"
"slow motion desc","Slows down the time during 15 seconds, but does not slow down your movement.","Ralentit le temps pendant 15 secondes, mais sans ralentir votre mouvement."
"invincibility","Invincibility","Invincibilité"
"invincibility desc","Makes you invincible during 10 seconds","Vous rend invincible pendant 10 secondes"
"hex multiplier","Hexagon multiplier","Multiplicateur d'hexagones"
"hex mult desc","Triple the number of hexagons collected in a game.","Triple le nombre d'hexagones collectés pendant 1 partie."
"score multiplier","Score multiplier","Multiplicateur de score"
"score mult desc","Rise up your score by 30%. Taken into account by the interface during the game.","Augmente votre score de 30%. Pris en compte par l'interface pendant la partie."
"cancel","Cancel","Annuler"
"settings","Settings","Paramètres"
"reset","Reset the game","Réinitialiser le jeu"
"change vibr","Activate/deactivate the vibrator","Activer/désactiver le vibreur"
"move type","Displacement control mode:","Mode de contrôle de déplacement :"
"volume","Volume:","Volume :"
"confirm reset","Are you sure you want to reset everything? This will exit the game.","Etes-vous sur de vouloir tout réinitialiser? Cela fermera le jeu."
"yes","Yes","Oui"
"no","No","Non"
"move dir slide","Finger slide direction (default)","Direction du glissement (par défaut)"
"move to finger","Move towards the finger","Vers le doigt"
"move from start","Relative to finger slide start","Par rapport au début du glissement"
"move joystick","Joystick","Joystick"
"score obj","Score at least {0} points, {1} mode","Marquer au moins {0} points, mode {1}"
"no move obj","Do not move during {0}s, {1} mode","Ne bas bouger pendant {0}s, mode {1}"
"no color obj","Do not change color during {0}s, {1} mode","Ne pas changer de couleur pendant {0}s, mode {1}"
"money obj","Collect {0} hexagons in one game, {1} mode","Collecter {0} hexagones en une partie, mode {1}"
"language","Language:","Langue :"
